asr_result,correct_answer,similarity
星爸爸的十万个为什么,熊爸爸的十万个为什么,0.8475281819688463
大概支付宝查看转账记录,打开支付宝查看转账记录,0.9303730812748736
水瓶座的药店有哪些,水瓶座的优点有哪些,0.9254227134661259
聊天,聊天,1.0
打开京东发现,打开京东发现,1.0000000000000002
查看微博本地新闻,查看微博本地新闻,1.0000000000000002
锄禾日当午的下一句是什么,锄禾日当午的下一句是什么,0.9999999999999998
韭菜适合与什么一起吃,韭菜适合与什么一起吃,0.9999999999999999
打开热点,打开热点,1.0
最近有风吗,最近有风吗,1.0000000000000002
吃什么可以补钙,吃什么可以补钙,1.0000000000000002
我要看彭于晏的图片,我要看彭于晏的图片,1.0
1米等于多少厘米,一米等于多少厘米,0.878139189348064
微信查找妈妈,微信查找妈妈,0.9999999999999998
端午节为什么要吃粽子,端午节为什么要吃粽子,1.0000000000000002
没没有啊,北冥有哈,0.3993286589540705
播放电钻声音,播放电钻声音,0.9999999999999998
明天今天日出,明天几点日出,0.9125724722847455
我想亲你一,我想听民谣,0.6382595692152796
